# Altitude (m),Position East of launch (m),Position North of launch (m)
4467,311.14,6904.9
4468.1,311.39,6914
4469.3,311.64,6923.2
4470.4,311.89,6932.3
4471.5,312.14,6941.4
4472.5,312.39,6950.5
4473.6,312.64,6959.6
4474.6,312.88,6968.7
4475.6,313.13,6977.8
4476.5,313.37,6986.8
4477.5,313.62,6995.9
4478.4,313.86,7004.9
4479.2,314.1,7013.9
4480.1,314.35,7022.9
4480.9,314.59,7031.9
4481.7,314.83,7040.9
4482.5,315.07,7049.9
4483.3,315.3,7058.8
4484,315.54,7067.8
4484.7,315.78,7076.7
4485.4,316.01,7085.7
4486,316.25,7094.6
4486.7,316.48,7103.5
4487.3,316.72,7112.4
4487.8,316.95,7121.3
4488.4,317.18,7130.1
4488.9,317.41,7139
4489.4,317.64,7147.8
4489.9,317.87,7156.7
4490.3,318.1,7165.5
4490.8,318.33,7174.3
4491.2,318.56,7183.1
4491.5,318.78,7191.9
4491.9,319.01,7200.7
4492.2,319.23,7209.4
4492.5,319.46,7218.2
4492.8,319.68,7226.9
4493,319.9,7235.7
4493.3,320.12,7244.4
4493.5,320.34,7253.1
4493.7,320.56,7261.8
4493.8,320.78,7270.5
4493.9,321,7279.2
4494,321.22,7287.9
4494.1,321.44,7296.5
4494.2,321.65,7305.2
4494.2,321.87,7313.8
4494.2,322.08,7322.4
4494.2,322.3,7331
4494.1,322.51,7339.6
4494.1,322.72,7348.2
4494,322.93,7356.8
4493.9,323.14,7365.4
4493.7,323.35,7374
4493.6,323.56,7382.5
4493.4,323.77,7391.1
4493.2,323.98,7399.6
4492.9,324.19,7408.1
4492.7,324.39,7416.6
4492.4,324.6,7425.1
4492.1,324.8,7433.6
4491.7,325.01,7442.1
4491.4,325.21,7450.6
4491,325.41,7459
4490.6,325.62,7467.5
4490.2,325.82,7475.9
4489.7,326.02,7484.3
4489.2,326.22,7492.7
4488.7,326.42,7501.2
4488.2,326.62,7509.5
4487.7,326.81,7517.9
4487.1,327.01,7526.3
4486.5,327.21,7534.7
4485.9,327.4,7543
4485.2,327.6,7551.4
4484.6,327.79,7559.7
4483.9,327.99,7568
4483.2,328.18,7576.4
4482.4,328.37,7584.7
4481.7,328.56,7593
4480.9,328.75,7601.2
4480.1,328.94,7609.5
4479.2,329.13,7617.8
4478.4,329.32,7626
4477.5,329.51,7634.3
4476.6,329.7,7642.5
4475.7,329.88,7650.8
4474.7,330.07,7659
4473.7,330.25,7667.2
4472.7,330.44,7675.4
4471.7,330.62,7683.6
4470.7,330.81,7691.8
4469.6,330.99,7699.9
4468.5,331.17,7708.1
4467.4,331.35,7716.2
4466.3,331.53,7724.4
4465.1,331.71,7732.5
4463.9,331.89,7740.6
4462.7,332.07,7748.7
4461.5,332.25,7756.8
4460.3,332.43,7764.9
4459,332.6,7773
4457.7,332.78,7781.1
4456.4,332.95,7789.1
4455,333.13,7797.2
4453.7,333.3,7805.2
4452.3,333.47,7813.3
4450.9,333.65,7821.3
4449.4,333.82,7829.3
4448,333.99,7837.3
4446.5,334.16,7845.3
4445,334.33,7853.3
4443.5,334.5,7861.3
4441.9,334.67,7869.3
4440.4,334.84,7877.2
4438.8,335.01,7885.2
4437.2,335.17,7893.1
4435.5,335.34,7901.1
4433.9,335.5,7909
4432.2,335.67,7916.9
4430.5,335.83,7924.8
4428.8,336,7932.7
4427,336.16,7940.6
4425.2,336.32,7948.5
4423.4,336.48,7956.3
4421.6,336.64,7964.2
4419.8,336.81,7972
4417.9,336.97,7979.9
4416,337.12,7987.7
4414.1,337.28,7995.5
4412.2,337.44,8003.3
4410.3,337.6,8011.1
4408.3,337.75,8018.9
4406.3,337.91,8026.7
4404.3,338.07,8034.5
4402.2,338.22,8042.3
4400.2,338.38,8050
4398.1,338.53,8057.8
4396,338.68,8065.5
4393.9,338.83,8073.3
4391.7,338.99,8081
4389.5,339.14,8088.7
4387.4,339.29,8096.4
4385.1,339.44,8104.1
4382.9,339.59,8111.8
4380.6,339.73,8119.5
4378.4,339.88,8127.1
4376.1,340.03,8134.8
4373.7,340.18,8142.4
4371.4,340.32,8150.1
4369,340.47,8157.7
4366.6,340.61,8165.3
4364.2,340.76,8173
4361.8,340.9,8180.6
4359.3,341.04,8188.2
4356.9,341.19,8195.8
4354.4,341.33,8203.3
4351.9,341.47,8210.9
4349.3,341.61,8218.5
4346.8,341.75,8226
4344.2,341.89,8233.6
4341.6,342.03,8241.1
4338.9,342.17,8248.7
4336.3,342.31,8256.2
4333.6,342.44,8263.7
4330.9,342.58,8271.2
4328.2,342.72,8278.7
4325.5,342.85,8286.2
4322.7,342.99,8293.6
4320,343.12,8301.1
4317.2,343.25,8308.6
4314.4,343.39,8316
4311.5,343.52,8323.5
4308.7,343.65,8330.9
4305.8,343.78,8338.3
4302.9,343.91,8345.7
4299.9,344.04,8353.2
4297,344.17,8360.6
4294,344.3,8367.9
4291.1,344.43,8375.3
4288,344.56,8382.7
4285,344.68,8390.1
4282,344.81,8397.4
4278.9,344.94,8404.8
4275.8,345.06,8412.1
4272.7,345.19,8419.4
4269.6,345.31,8426.8
4266.4,345.43,8434.1
4263.2,345.56,8441.4
4260,345.68,8448.7
4256.8,345.8,8456
4253.6,345.92,8463.2
4250.3,346.04,8470.5
4247.1,346.16,8477.8
4243.8,346.28,8485
4240.4,346.4,8492.3
4237.1,346.52,8499.5
4233.7,346.64,8506.7
4230.4,346.75,8514
4227,346.87,8521.2
4223.5,346.99,8528.4
4220.1,347.1,8535.6
4216.6,347.22,8542.8
4213.2,347.33,8549.9
4209.7,347.44,8557.1
4206.1,347.56,8564.3
4202.6,347.67,8571.4
4199,347.78,8578.6
4195.4,347.89,8585.7
4191.8,348,8592.8
4188.2,348.11,8600
4184.6,348.22,8607.1
4180.9,348.33,8614.2
4177.2,348.44,8621.3
4173.5,348.55,8628.3
4169.8,348.66,8635.4
4166.1,348.76,8642.5
4162.3,348.87,8649.6
4158.5,348.98,8656.6
4154.7,349.08,8663.7
4150.9,349.19,8670.7
4147,349.29,8677.7
4143.2,349.39,8684.7
4139.3,349.5,8691.7
4135.4,349.6,8698.7
4131.5,349.7,8705.7
4127.5,349.8,8712.7
4123.5,349.9,8719.7
4119.6,350,8726.7
4115.6,350.1,8733.6
4111.5,350.2,8740.6
4107.5,350.3,8747.5
4103.4,350.4,8754.5
4099.4,350.49,8761.4
4095.3,350.59,8768.3
4091.1,350.69,8775.2
4087,350.78,8782.1
4082.8,350.88,8789
4078.7,350.97,8795.9
4074.5,351.06,8802.8
4070.2,351.16,8809.7
4066,351.25,8816.5
4061.7,351.34,8823.4
4057.5,351.43,8830.2
4053.2,351.52,8837.1
4048.9,351.61,8843.9
4044.5,351.7,8850.7
4040.2,351.79,8857.5
4035.8,351.88,8864.3
4031.4,351.97,8871.1
4027,352.06,8877.9
4022.6,352.15,8884.7
4018.1,352.23,8891.4
4013.7,352.32,8898.2
4009.2,352.4,8905
4004.7,352.49,8911.7
4000.1,352.57,8918.4
3995.6,352.66,8925.2
3991,352.74,8931.9
3986.5,352.82,8938.6
3981.9,352.9,8945.3
3977.2,352.98,8952
3972.6,353.07,8958.7
3968,353.15,8965.4
3963.3,353.23,8972.1
3958.6,353.31,8978.7
3953.9,353.38,8985.4
3949.1,353.46,8992
3944.4,353.54,8998.7
3939.6,353.62,9005.3
3934.8,353.69,9011.9
3930,353.77,9018.5
3925.2,353.84,9025.1
3920.4,353.92,9031.7
3915.5,353.99,9038.3
3910.6,354.07,9044.9
3905.7,354.14,9051.5
3900.8,354.21,9058
3895.9,354.28,9064.6
3890.9,354.36,9071.1
3886,354.43,9077.7
3881,354.5,9084.2
3876,354.57,9090.7
3871,354.64,9097.3
3865.9,354.7,9103.8
3860.8,354.77,9110.3
3855.8,354.84,9116.7
3850.7,354.91,9123.2
3845.6,354.97,9129.7
3840.4,355.04,9136.2
3835.3,355.1,9142.6
3830.1,355.17,9149.1
3824.9,355.23,9155.5
3819.7,355.3,9162
3814.5,355.36,9168.4
3809.3,355.42,9174.8
3804,355.48,9181.2
3798.7,355.55,9187.6
3793.4,355.61,9194
3788.1,355.67,9200.4
3782.8,355.73,9206.8
3777.4,355.79,9213.1
3772.1,355.84,9219.5
3766.7,355.9,9225.8
3761.3,355.96,9232.2
