# PML Intruder 38mm J270-11 (Up to date)
# 1029 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.1033274,813.2655928,134.4074762,23.5741633,115.7721674,47.1838192,17.9889229
5.1533274,819.868112,133.1620236,23.8218081,116.8163831,47.1838286,17.9889262
5.2033274,826.4091454,131.9313173,24.0700042,117.8527638,47.1838379,17.9889295
5.2533274,832.8893603,130.7155839,24.3183847,118.8817817,47.1838471,17.9889328
5.3033274,839.3094574,129.5125901,24.56687,119.9036341,47.1838563,17.9889361
5.3397796,843.9523454,128.6443333,24.7472728,120.6449503,47.183863,17.9889385
5.3897796,850.2699492,127.4690437,24.9946775,121.6559072,47.1838721,17.9889417
5.4277757,855.032122,126.5867584,25.1838989,122.4184681,47.1838789,17.9889442
5.4602058,859.0705103,125.8393923,25.3465037,123.0652058,47.1838848,17.9889464
5.5088508,865.0831365,124.725662,25.5913428,124.0292119,47.1838934,17.9889496
5.5588508,871.2071525,123.5895514,25.8421588,125.0144574,47.1839023,17.9889529
5.593821,875.4567697,122.8034349,26.0166421,125.7006283,47.1839085,17.9889553
5.643821,881.4856017,121.6929882,26.2662445,126.6762,47.1839172,17.9889586
5.693821,887.4595726,120.5945794,26.5167324,127.6446774,47.1839259,17.9889619
5.743821,893.3791511,119.5072124,26.7674499,128.6067856,47.1839346,17.9889652
5.793821,899.2448646,118.4306056,27.0181256,129.5628829,47.1839432,17.9889685
5.8379053,904.3721796,117.490162,27.238237,130.401785,47.1839507,17.9889714
5.8879053,910.1378497,116.43761,27.4874929,131.3481239,47.1839592,17.9889747
5.9263787,914.5389985,115.6371494,27.68038,132.071318,47.1839657,17.9889773
5.9636846,918.7775091,114.8660703,27.8685329,132.7682601,47.183972,17.9889798
6.0136846,924.4134232,113.8380307,28.1206154,133.6975129,47.1839804,17.9889831
6.0612235,929.7245442,112.8713091,28.3592297,134.5768744,47.1839883,17.9889863
6.1112235,935.2616446,111.868001,28.6111456,135.495494,47.1839965,17.9889896
6.1422767,938.6755834,111.2493771,28.7687311,136.0622032,47.1840016,17.9889917
6.1888564,943.7607506,110.3261402,29.0057673,136.907768,47.1840092,17.9889948
6.2388564,949.1717599,109.3413254,29.2601573,137.8103606,47.1840174,17.9889982
6.2717074,952.70013,108.6973349,29.4264504,138.4013394,47.1840227,17.9890004
6.3172021,957.5517795,107.815377,29.6559644,139.2168275,47.18403,17.9890034
6.3672021,962.8379165,106.8549425,29.9079965,140.1083837,47.184038,17.9890067
