# PML Intruder 38mm J425-13 SW (Up to date)
# 1046 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
1.5870885,272.4050249,299.1611638,13.4161218,3.7987856,47.1828122,17.9887885
1.5974107,275.4899495,299.016855,13.5358992,3.8072659,47.1828122,17.9887901
1.6106594,279.4464122,298.6942197,13.6898776,3.8184551,47.1828123,17.9887921
1.6305325,285.3707143,297.9668823,13.9205524,3.8352194,47.1828125,17.9887952
1.6406912,288.3928508,297.4745422,14.0380359,3.8435349,47.1828126,17.9887967
1.65024,291.2287797,296.9631593,14.1481321,3.85116,47.1828126,17.9887982
1.6626276,294.9002749,296.2558413,14.2905797,3.8609012,47.1828127,17.9888001
1.681209,300.3902749,295.1078126,14.5040541,3.8758449,47.1828129,17.9888029
1.6914742,303.413842,294.4354222,14.6221415,3.8845442,47.1828129,17.9888045
1.7004895,306.0634837,293.8302813,14.7259926,3.8925064,47.182813,17.9888059
1.7112356,309.2146177,293.0929187,14.8498968,3.9023377,47.1828131,17.9888075
1.7273549,313.9262267,291.9595413,15.0356524,3.917459,47.1828132,17.98881
1.7488264,320.1737091,290.432547,15.2820446,3.9374628,47.1828134,17.9888132
1.759537,323.2779008,289.6668191,15.4043472,3.9472226,47.1828135,17.9888148
1.773928,327.435836,288.6386525,15.5681467,3.9602163,47.1828136,17.988817
1.7955145,333.6449483,287.0941564,15.8133763,3.980118,47.1828138,17.9888202
1.8098906,337.7616019,286.0682853,15.976753,3.9940171,47.1828139,17.9888224
1.8226643,341.4070649,285.1654505,16.1220308,4.006871,47.182814,17.9888243
1.8418249,346.8535896,283.808794,16.3398761,4.0267708,47.1828142,17.9888272
1.8705658,354.9741161,281.7384045,16.6652569,4.0568009,47.1828145,17.9888315
1.8869418,359.5741894,280.5252921,16.8496525,4.0737624,47.1828146,17.988834
1.9115059,366.436875,278.690759,17.1253141,4.0994597,47.1828149,17.9888376
1.948352,376.6447297,275.8540124,17.5378535,4.1398156,47.1828152,17.9888431
# Event BURNOUT occurred at t=1.996 seconds
1.996,389.6865986,272.050785,18.0688475,4.1946314,47.1828157,17.9888501
2.046,403.1734564,267.9062844,18.6226569,4.2551704,47.1828163,17.9888574
2.096,416.4563947,263.8938287,19.1723777,4.3182603,47.1828168,17.9888647
2.146,429.541886,260.0076911,19.7179849,4.3836196,47.1828174,17.9888719
2.196,442.4360401,256.2418304,20.2609042,4.4525124,47.182818,17.9888791
2.246,455.1446438,252.5856026,20.7999138,4.5234466,47.1828187,17.9888862
2.2842323,464.7404705,249.8643532,21.2092505,4.5788013,47.1828192,17.9888916
2.3055939,470.0569833,248.3708917,21.4377028,4.6109234,47.1828195,17.9888947
2.3339982,477.0771989,246.4118269,21.7410049,4.6547416,47.1828199,17.9888987
2.362121,483.9734701,244.501602,22.0396485,4.698204,47.1828203,17.9889026
2.3879827,490.268225,242.7725633,22.312782,4.7381629,47.1828206,17.9889062
2.4267752,499.6273074,240.2275231,22.7216524,4.7999222,47.1828212,17.9889117
2.4455232,504.1152605,239.017023,22.9192466,4.8308951,47.1828214,17.9889143
2.4736451,510.8048769,237.2226717,23.2152477,4.87833,47.1828219,17.9889182
2.500478,517.1411417,235.5337994,23.4962508,4.923648,47.1828223,17.9889219
2.5182913,521.3226833,234.4261488,23.6818444,4.9535609,47.1828225,17.9889244
2.5450114,527.55825,232.7859181,23.9594219,4.9987717,47.182823,17.988928
2.5726625,533.9652501,231.1135861,24.2465465,5.0468863,47.1828234,17.9889318
2.6023747,540.7985976,229.3418712,24.5549057,5.100051,47.1828239,17.9889359
2.6469429,550.9508309,226.7315643,25.0152609,5.1807028,47.1828246,17.988942
2.6889565,560.4157446,224.3248046,25.4467316,5.2575135,47.1828253,17.9889477
2.7389565,571.5495744,221.5268399,25.9590201,5.3518152,47.1828261,17.9889545
2.7742768,579.3309941,219.590153,26.3204686,5.4206433,47.1828267,17.9889593
2.8242768,590.2306654,216.9004359,26.8294021,5.5189798,47.1828276,17.988966
2.8742768,600.9974442,214.275484,27.335681,5.6187841,47.1828285,17.9889727
2.9242768,611.6343816,211.7103843,27.8404339,5.72112,47.1828295,17.9889794
2.9710011,621.4596629,209.3652422,28.3114314,5.8196438,47.1828303,17.9889856
2.9931868,626.0867721,208.2656953,28.5340499,5.8665839,47.1828308,17.9889886
3.006093,628.7673516,207.630726,28.6629298,5.8936101,47.182831,17.9889903
3.0223913,632.140832,206.8351402,28.8251268,5.9275406,47.1828313,17.9889924
3.0468389,637.1768693,205.6547392,29.0680275,5.9787826,47.1828318,17.9889956
3.0629327,640.4763823,204.8853769,29.2281369,6.0132041,47.1828321,17.9889977
3.0750851,642.9596217,204.308067,29.3492741,6.0396864,47.1828323,17.9889993
3.0876439,645.5185377,203.7144589,29.4746726,6.0674908,47.1828326,17.989001
3.1037492,648.7891623,202.9573041,29.6356659,6.1036663,47.1828329,17.9890031
3.1279072,653.6722939,201.8291595,29.8769355,6.1584116,47.1828334,17.9890063
3.1490879,657.931294,200.8474792,30.0875429,6.2061676,47.1828338,17.9890091
3.1620828,660.5340561,200.2492821,30.2161459,6.2351705,47.1828341,17.9890108
3.1776307,663.6380063,199.5384518,30.3694692,6.2696358,47.1828344,17.9890128
3.2009526,668.2733231,198.4825472,30.5987989,6.3213062,47.1828348,17.9890159
3.2359354,675.1803905,196.9196342,30.942705,6.4001202,47.1828356,17.9890204
3.2586078,679.6277805,195.9183914,31.165816,6.4523074,47.182836,17.9890234
3.2926166,686.2564788,194.4318145,31.5002316,6.5316208,47.1828367,17.9890278
3.3426166,695.9110153,192.2797017,31.9890661,6.648155,47.1828378,17.9890343
3.3827295,703.5793661,190.5858855,32.3791017,6.7418488,47.1828386,17.9890394
3.4047257,707.7556277,189.6696952,32.5930867,6.7942031,47.1828391,17.9890423
3.4222455,711.0675891,188.9453386,32.7638032,6.8366145,47.1828395,17.9890445
3.4485253,716.0117803,187.8664441,33.019937,6.9009998,47.1828401,17.9890479
3.4879449,723.3751897,186.2644444,33.4025911,6.9976018,47.1828409,17.989053
3.5066451,726.8463423,185.5122462,33.5830767,7.0430434,47.1828413,17.9890554
3.5273297,730.6695422,184.6867155,33.781937,7.0930195,47.1828418,17.989058
3.5583566,736.3725226,183.4620104,34.0791713,7.1678873,47.1828425,17.9890619
3.6048969,744.8562464,181.6540199,34.5247674,7.282064,47.1828435,17.9890678
3.6257918,748.6378309,180.8527857,34.7252078,7.3345245,47.182844,17.9890705
3.6429754,751.7352122,180.1984331,34.8903582,7.3783493,47.1828444,17.9890727
3.6637174,755.4589942,179.4132245,35.0899637,7.431947,47.1828448,17.9890753
3.6948303,761.0142043,178.2425678,35.3888592,7.5127248,47.1828456,17.9890793
3.7114356,763.9642469,177.6215812,35.5476307,7.5555203,47.1828459,17.9890814
3.7260454,766.5512818,177.0782198,35.686775,7.5928767,47.1828463,17.9890832
3.7429226,769.5299691,176.4546235,35.8469534,7.6357618,47.1828467,17.9890853
3.7682382,773.9783745,175.5277455,36.0864908,7.6999415,47.1828472,17.9890885
3.8062117,780.6072367,174.1548502,36.4452258,7.7969331,47.1828481,17.9890932
3.8348503,785.5721818,173.1327324,36.7161221,7.8714387,47.1828488,17.9890968
3.8526414,788.6417973,172.5029301,36.884813,7.9185566,47.1828492,17.9890991
3.8743701,792.3756053,171.7375736,37.0910978,7.9768026,47.1828497,17.9891018
3.9069633,797.9452133,170.5958823,37.3997594,8.0643072,47.1828505,17.9891059
3.924011,800.8436218,170.0027653,37.5603993,8.1096984,47.1828509,17.989108
3.9422941,803.940891,169.3708248,37.732037,8.1580591,47.1828514,17.9891103
3.9697188,808.5652547,168.4318918,37.9886454,8.2303757,47.182852,17.9891137
4.0108559,815.4537902,167.0429988,38.3734686,8.3401525,47.182853,17.9891188
4.0302366,818.6793816,166.3954566,38.5552091,8.3928819,47.1828535,17.9891212
4.0522861,822.3338666,165.6630996,38.7623063,8.4536417,47.182854,17.9891239
4.0853603,827.7853598,164.572087,39.072968,8.5456647,47.1828549,17.989128
4.1349717,835.8953061,162.951267,39.5365574,8.6832338,47.1828561,17.9891341
4.1500143,838.3385195,162.4639034,39.6761548,8.724435,47.1828565,17.989136
4.1657412,840.8850827,161.9575785,39.8215839,8.7672164,47.1828568,17.9891379
4.1893316,844.6900747,161.2051944,40.039243,8.8313305,47.1828574,17.9891408
4.2206176,849.7090189,160.218551,40.328302,8.9175323,47.1828582,17.9891446
4.2367707,852.2882135,159.7129313,40.4779964,8.962832,47.1828586,17.9891466
4.2549355,855.1788553,159.146927,40.6466538,9.0143673,47.1828591,17.9891488
