# PML Intruder 38 mm J425-13 (Up to date)
# 1049 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2.3633299,480.2638852,243.8693715,18.3497654,56.4145086,47.1832853,17.9888538
2.387446,486.0758212,242.2559595,18.5526975,57.1489593,47.183292,17.9888565
2.4236201,494.7220629,239.8784181,18.8567589,58.2410982,47.1833018,17.9888605
2.4423599,499.1679176,238.6654231,19.0144995,58.8020873,47.1833068,17.9888626
2.4698998,505.660888,236.9040341,19.2463353,59.6209342,47.1833142,17.9888657
2.5112096,515.3108539,234.3082146,19.592392,60.8386396,47.1833251,17.9888702
2.5612096,526.8502986,231.2428353,20.0096393,62.2948663,47.1833382,17.9888758
2.6112096,538.2395156,228.2533779,20.4252697,63.7322433,47.1833512,17.9888813
2.6612096,549.4823056,225.3403544,20.8394802,65.1511675,47.1833639,17.9888867
2.7112096,560.5822318,222.4969623,21.2518864,66.5525092,47.1833765,17.9888922
2.7612096,571.5428028,219.7247801,21.6625713,67.9366767,47.183389,17.9888976
2.8027417,580.543729,217.4724798,22.0037602,69.0724619,47.1833992,17.9889022
2.8527417,591.2579387,214.8160323,22.4133854,70.4245984,47.1834113,17.9889076
2.8907281,599.3104323,212.8383335,22.7226413,71.4420533,47.1834205,17.9889117
2.9374433,609.1121014,210.4562129,23.1016748,72.6810643,47.1834316,17.9889167
2.9559022,612.9549108,209.5293785,23.2517762,73.1662995,47.183436,17.9889187
2.9758525,617.0892084,208.5356336,23.4143136,73.6879132,47.1834407,17.9889208
3.0057779,623.2539438,207.0592422,23.6578761,74.4657026,47.1834477,17.988924
3.0307945,628.3739064,205.8386169,23.8605438,75.1123831,47.1834535,17.9889267
3.0544594,633.1894253,204.696547,24.0513864,75.721293,47.183459,17.9889292
3.0899568,640.3627262,203.0068987,24.3368108,76.6288656,47.1834671,17.988933
3.1399568,650.3668189,200.6718823,24.7391429,77.8937896,47.1834785,17.9889384
3.1710045,656.5210818,199.2456078,24.9893508,78.6712783,47.1834855,17.9889417
3.2175761,665.6705618,197.1367918,25.3630432,79.8283574,47.1834959,17.9889466
3.2590346,673.7341404,195.2952113,25.694086,80.8493328,47.1835051,17.988951
3.3027081,682.1473623,193.389422,26.0431025,81.9139779,47.1835147,17.9889556
3.3527081,691.6787748,191.2451441,26.4425281,83.1199227,47.1835255,17.9889609
3.4027081,701.1046676,189.1420535,26.8405416,84.3135655,47.1835362,17.9889662
3.4527081,710.4271267,187.078717,27.2378301,85.4945429,47.1835469,17.9889714
3.5027081,719.648053,185.0541957,27.6341244,86.6634126,47.1835574,17.9889767
3.5527081,728.7693464,183.0666684,28.0295456,87.8203337,47.1835678,17.9889819
3.6027081,737.7927899,181.1162287,28.4237045,88.9659693,47.1835781,17.9889871
3.6527081,746.7203257,179.2026326,28.8178018,90.0994428,47.1835883,17.9889923
3.702665,755.5461271,177.3229675,29.2117612,91.2197796,47.1835984,17.9889975
3.752665,764.2867873,175.4723464,29.6044681,92.3308779,47.1836084,17.9890027
3.802665,772.9363764,173.6573614,29.9964718,93.4311698,47.1836182,17.9890079
3.8221977,776.2910618,172.9569687,30.1501672,93.8573953,47.1836221,17.98901
3.8514967,781.297715,171.9129264,30.3809329,94.4933324,47.1836278,17.989013
3.894189,788.5387688,170.4053434,30.7155987,95.4147495,47.1836361,17.9890174
3.9109809,791.3693301,169.8180619,30.8463676,95.7758286,47.1836393,17.9890192
3.9329274,795.0540207,169.0567611,31.0166768,96.2464999,47.1836436,17.9890214
3.965847,800.5501082,167.9281892,31.2718249,96.9489629,47.1836499,17.9890248
3.9858337,803.869105,167.2503174,31.4271929,97.3727758,47.1836537,17.9890268
3.9998103,806.1821233,166.7790934,31.5362484,97.6677561,47.1836563,17.9890283
4.0135894,808.4560718,166.3164742,31.6441043,97.9574364,47.183659,17.9890297
4.0304645,811.2323966,165.7521195,31.7765558,98.3107875,47.1836621,17.9890315
4.0557773,815.3792065,164.9092768,31.9755099,98.8383529,47.1836669,17.9890341
4.0937464,821.5596583,163.6509961,32.2724912,99.6262283,47.183674,17.989038
4.1042102,823.2545302,163.3060629,32.3536957,99.8429572,47.1836759,17.9890391
4.1148147,824.968521,162.9579264,32.4356697,100.0624685,47.1836779,17.9890402
4.1272474,826.9733119,162.5519291,32.5314212,100.3195977,47.1836802,17.9890415
4.1450909,829.8418471,161.9735749,32.6683872,100.6880099,47.1836835,17.9890433
4.1718563,834.1255143,161.1151688,32.8736049,101.2385101,47.1836885,17.989046
4.1918177,837.3054928,160.4810726,33.0271037,101.6468174,47.1836921,17.989048
4.2047952,839.366184,160.0711779,33.1272868,101.911063,47.1836945,17.9890493
4.2170263,841.3035589,159.6863477,33.2220227,102.1592123,47.1836967,17.9890506
4.2299607,843.3472708,159.280797,33.3225149,102.420705,47.1836991,17.9890519
4.2457964,845.8423446,158.7859852,33.4458816,102.7396608,47.183702,17.9890536
4.26955,849.5703997,158.0462687,33.6311656,103.2160891,47.1837062,17.989056
4.3000611,854.3333753,157.0990655,33.8680573,103.8260297,47.1837117,17.9890591
4.3104742,855.9523065,156.7770468,33.9483302,104.0339624,47.1837136,17.9890602
4.320768,857.5494017,156.4598125,34.0273533,104.2394423,47.1837154,17.9890613
4.3318345,859.2627502,156.1202084,34.1119648,104.4602477,47.1837174,17.9890624
4.3449844,861.293771,155.7188434,34.2121103,104.7224226,47.1837198,17.9890637
4.3645918,864.3124331,155.1250624,34.3609124,105.1126861,47.1837233,17.9890657
4.394003,868.8188624,154.2441482,34.5841708,105.6954242,47.1837285,17.9890686
4.4059309,870.6391812,153.8895985,34.6751081,105.9304875,47.1837307,17.9890698
4.4156829,872.1243457,153.6007391,34.7497253,106.122032,47.1837324,17.9890708
4.4246346,873.4851927,153.336336,34.8184578,106.2973275,47.183734,17.9890717
4.4334458,874.8223869,153.0767517,34.8863387,106.4693693,47.1837355,17.9890726
4.4426187,876.2120893,152.8071681,34.9572372,106.6479584,47.1837371,17.9890736
4.4527848,877.7494199,152.5091099,35.0360567,106.8453007,47.1837389,17.9890746
4.4650981,879.6074212,152.1489886,35.1317962,107.0835689,47.183741,17.9890759
4.4831142,882.3180529,151.6234143,35.2721968,107.4309278,47.1837441,17.9890777
4.5101384,886.3663648,150.8366909,35.4827127,107.9499409,47.1837488,17.9890805
4.5248867,888.5667378,150.4071684,35.5970632,108.2326497,47.1837514,17.989082
4.5340313,889.9278902,150.1408355,35.6676121,108.4079138,47.1837529,17.989083
4.541932,891.1019162,149.910904,35.7283011,108.5593627,47.1837543,17.9890838
4.5493112,892.1968012,149.6964453,35.7847465,108.7008542,47.1837556,17.9890845
4.5565045,893.262573,149.4879015,35.8395447,108.8388218,47.1837568,17.9890852
4.5642891,894.4142527,149.2630671,35.8986143,108.9881588,47.1837582,17.989086
4.5732823,895.7425692,149.0045539,35.9665952,109.1606814,47.1837597,17.9890869
4.5848546,897.4483938,148.6739532,36.0537548,109.382586,47.1837617,17.9890881
4.602213,900.0000027,148.1822352,36.1841313,109.7149564,47.1837647,17.9890898
4.6282506,903.811597,147.4520636,36.3797691,110.2115647,47.1837692,17.9890924
4.6445784,906.1922214,146.9977236,36.5028943,110.5214082,47.1837719,17.989094
4.6572039,908.0280215,146.6479795,36.5984585,110.7600471,47.1837741,17.9890953
4.6687393,909.7015133,146.3295526,36.6860799,110.977327,47.183776,17.9890964
4.6800461,911.3383218,146.0183812,36.7722575,111.1895956,47.183778,17.9890976
4.6921168,913.0818753,145.6871128,36.8645537,111.4154586,47.18378,17.9890988
4.7063894,915.1383848,145.2964883,36.9740077,111.6816043,47.1837824,17.9891002
4.7257364,917.917233,144.7687124,37.1227566,112.0409596,47.1837856,17.9891022
4.7547568,922.0665192,143.9798115,37.3461407,112.577508,47.1837904,17.9891052
4.7928076,927.4723709,142.9469222,37.6374931,113.2785006,47.1837967,17.989109
4.8026449,928.8635457,142.6804138,37.7121868,113.4596052,47.1837984,17.98911
4.8121068,930.1991555,142.4248111,37.783733,113.6338044,47.1837999,17.989111
